BatName,BowlName,0s,1s,2s,3s,4s,6s,Out,BowlclustNo,BatclustNo
AB de Villiers ,MC Henriques,0.5,0,0,0,0,0,0.5,0,1
AB de Villiers ,MG Johnson,0.25,0.5,0,0,0,0,0.25,0,1
AB de Villiers ,MJ McClenaghan,0,0,0,0,0.5,0.25,0.25,0,1
AB de Villiers ,MJ McClenaghan,0,0.25,0.125,0,0.5,0,0.125,0,1
AB de Villiers ,P Kumar,0.5,0,0,0,0,0,0.5,4,1
AB de Villiers ,PP Chawla,0.5,0.25,0,0,0,0,0.25,4,1
AB de Villiers ,PV Tambe,0.2727272727,0.4545454545,0,0,0.1818181818,0,0.0909090909,0,1
AB de Villiers ,PV Tambe,0.2,0.2,0,0,0.4,0,0.2,0,1
AB de Villiers ,R Dhawan,0,0.6666666667,0,0,0.1666666667,0,0.1666666667,3,1
AB de Villiers ,RA Jadeja,0.25,0.25,0,0,0,0.25,0.25,4,1
AB de Villiers ,RS Bopara,0.2222222222,0.2222222222,0,0,0.3333333333,0.1111111111,0.1111111111,3,1
AB de Villiers ,SL Malinga,0,0,0.1666666667,0,0.3333333333,0.3333333333,0.1666666667,0,1
AB de Villiers ,SL Malinga,0.4285714286,0.2142857143,0.0714285714,0,0.2142857143,0,0.0714285714,0,1
AB de Villiers ,SR Watson,0.2857142857,0.2142857143,0.2142857143,0,0.2142857143,0,0.0714285714,4,1
AB de Villiers ,SR Watson,0.3,0.4,0.1,0,0.1,0,0.1,4,1
AB de Villiers ,SR Watson,0.5454545455,0.1818181818,0.0909090909,0,0.0909090909,0,0.0909090909,4,1
AB de Villiers ,STR Binny,0.4444444444,0.2222222222,0.1111111111,0,0,0.1111111111,0.1111111111,4,1
AB de Villiers ,STR Binny,0.6,0.2,0,0,0,0,0.2,4,1
AB de Villiers ,Sandeep Sharma,0,0.6666666667,0,0,0,0,0.3333333333,3,1
AB de Villiers ,Sandeep Sharma,0,0.75,0,0,0,0,0.25,3,1
AB de Villiers ,TA Boult,0.3333333333,0,0,0,0.3333333333,0,0.3333333333,3,1
AB de Villiers ,TG Southee,0.5714285714,0.2857142857,0,0,0,0,0.1428571429,0,1
AB de Villiers ,YK Pathan,0.2,0.4,0,0,0,0.2,0.2,0,1
AD Mathews ,A Ashish Reddy,0,0.6666666667,0,0,0,0,0.3333333333,3,4
AD Mathews ,AD Russell,0.4,0.2,0,0,0.2,0,0.2,0,4
AD Mathews ,AD Russell,0.6666666667,0.1666666667,0,0,0,0,0.1666666667,0,4
AD Mathews ,AR Patel,0.25,0.25,0,0,0.25,0,0.25,3,4
AD Mathews ,Anureet Singh,0,0.5,0,0,0,0,0.5,0,4
AD Mathews ,B Kumar,0.1428571429,0.7142857143,0,0,0,0,0.1428571429,2,4
AD Mathews ,CH Morris,0.2,0.6,0,0,0,0,0.2,0,4
AD Mathews ,GB Hogg,0,0.25,0.25,0,0,0.25,0.25,3,4
AD Mathews ,HH Pandya,0.4,0.2,0,0,0,0.2,0.2,4,4
AD Mathews ,HV Patel,0.5,0.25,0,0,0,0,0.25,3,4
AD Mathews ,Harbhajan Singh,0,0.5,0,0,0,0,0.5,0,4
AD Mathews ,J Suchith,0.25,0.5,0,0,0,0,0.25,3,4
AD Mathews ,JP Faulkner,0.5,0.125,0.25,0,0,0,0.125,2,4
AD Mathews ,JP Faulkner,0.1428571429,0.1428571429,0.1428571429,0,0.2857142857,0.1428571429,0.1428571429,2,4
AD Mathews ,M Morkel,0,0.5,0,0,0,0,0.5,2,4
AD Mathews ,MJ McClenaghan,0.2857142857,0,0.2857142857,0,0.2857142857,0,0.1428571429,0,4
AD Mathews ,MJ McClenaghan,0,0.6666666667,0,0,0,0,0.3333333333,0,4
AD Mathews ,P Kumar,0,0.5,0,0,0,0.25,0.25,4,4
AD Mathews ,PP Chawla,0,0.5,0,0,0.25,0,0.25,4,4
AD Mathews ,PP Chawla,0,0.6666666667,0,0,0,0,0.3333333333,4,4
AD Mathews ,R Bhatia,0,0.5,0,0,0,0,0.5,2,4
AD Mathews ,SL Malinga,0,0.3333333333,0,0,0.3333333333,0,0.3333333333,4,4
AD Mathews ,SP Narine,0.5,0.25,0,0,0,0,0.25,2,4
AD Mathews ,SP Narine,0,0.2857142857,0.1428571429,0,0.1428571429,0.2857142857,0.1428571429,2,4
AD Mathews ,SR Watson,0.5714285714,0,0.1428571429,0,0.1428571429,0,0.1428571429,4,4
AD Mathews ,STR Binny,0.5,0,0,0,0.25,0,0.25,3,4
AD Mathews ,TG Southee,0,0.6,0,0,0.2,0,0.2,0,4
AD Mathews ,UT Yadav,0.375,0.5,0,0,0,0,0.125,4,4
AD Mathews ,UT Yadav,0.3333333333,0.3333333333,0,0,0,0,0.3333333333,4,4
AD Mathews ,VR Aaron,0.5,0,0,0,0,0,0.5,0,4
AD Russell ,A Mishra,0.3333333333,0.3333333333,0,0,0,0,0.3333333333,4,4
AD Russell ,A Nehra,0,0.6666666667,0,0,0,0,0.3333333333,4,4
AD Russell ,A Nehra,0.5,0,0,0,0,0,0.5,4,4
AD Russell ,AR Patel,0.3333333333,0.3333333333,0,0,0.1111111111,0.1111111111,0.1111111111,3,4
AD Russell ,AR Patel,0.1111111111,0.1111111111,0.3333333333,0,0.2222222222,0.1111111111,0.1111111111,3,4
AD Russell ,Anureet Singh,0,0.3333333333,0.3333333333,0,0.1666666667,0,0.1666666667,0,4
AD Russell ,Anureet Singh,0.0909090909,0.2727272727,0,0,0.2727272727,0.2727272727,0.0909090909,0,4
AD Russell ,BB Sran,0.2,0.2,0,0,0.2,0.2,0.2,3,4
AD Russell ,BE Hendricks,0,0.3333333333,0,0,0.3333333333,0,0.3333333333,1,4
AD Russell ,Bipul Sharma,0.2,0.2,0,0,0,0.4,0.2,3,4
AD Russell ,Bipul Sharma,0.5,0.25,0,0,0,0,0.25,3,4
AD Russell ,CH Morris,0.5,0,0,0,0,0,0.5,0,4
AD Russell ,D Wiese,0.1666666667,0.3333333333,0,0,0.1666666667,0.1666666667,0.1666666667,3,4
AD Russell ,DJ Bravo,0.1111111111,0.3333333333,0,0,0.2222222222,0.2222222222,0.1111111111,4,4
AD Russell ,DJ Bravo,0,0.6666666667,0,0,0,0,0.3333333333,4,4
AD Russell ,DS Kulkarni,0.3333333333,0,0.1666666667,0,0.3333333333,0,0.1666666667,2,4
AD Russell ,DW Steyn,0,0.5,0,0,0,0,0.5,4,4
AD Russell ,Gurkeerat Singh,0.5,0,0,0,0,0,0.5,1,4
AD Russell ,HV Patel,0.3333333333,0.1111111111,0.1111111111,0,0.2222222222,0.1111111111,0.1111111111,0,4
AD Russell ,Imran Tahir,0.5,0,0,0,0.25,0,0.25,3,4
AD Russell ,JP Faulkner,0.2,0.6,0,0,0,0,0.2,2,4
AD Russell ,MC Henriques,0.5,0,0,0,0,0,0.5,0,4
AD Russell ,MG Johnson,0.4,0.2,0,0,0.3,0,0.1,0,4
AD Russell ,MM Sharma,0.75,0,0,0,0,0,0.25,2,4
AD Russell ,Thisara Perera,0.4285714286,0.2142857143,0,0,0.2142857143,0.0714285714,0.0714285714,0,4
AD Russell ,P Negi,0.3,0.5,0,0,0,0.1,0.1,3,4
AD Russell ,Vinay Kumar,0.3333333333,0.3333333333,0,0,0,0,0.3333333333,4,4
AD Russell ,RA Jadeja,0,0.5,0,0,0.25,0.125,0.125,4,4
AD Russell ,RG More,0.2,0.6,0,0,0,0,0.2,1,4
AD Russell ,RS Bopara,0.4,0.2,0,0,0.2,0,0.2,3,4
AD Russell ,SL Malinga,0.3333333333,0.3333333333,0,0,0,0,0.3333333333,0,4
AD Russell ,SR Watson,0.1666666667,0.3333333333,0,0,0.1666666667,0.1666666667,0.1666666667,4,4
AD Russell ,STR Binny,0,0.5,0,0,0,0,0.5,4,4
AD Russell ,Sandeep Sharma,0.5,0,0,0,0,0,0.5,3,4
AD Russell ,VR Aaron,0.3333333333,0,0,0,0.1666666667,0.3333333333,0.1666666667,0,4
AD Russell ,VR Aaron,0,0.2,0,0,0.6,0,0.2,0,4
AD Russell ,YS Chahal,0,0.375,0.125,0,0.375,0,0.125,0,4
AJ Finch ,Anureet Singh,0.5,0,0.1666666667,0,0.1666666667,0,0.1666666667,3,2
AJ Finch ,CH Morris,0.5,0,0,0,0.25,0,0.25,0,2
AJ Finch ,DS Kulkarni,0.8,0,0,0,0,0,0.2,2,2
AJ Finch ,M Morkel,0.5,0,0,0,0.25,0,0.25,2,2
AJ Finch ,MG Johnson,0.6666666667,0,0,0,0,0,0.3333333333,0,2
AJ Finch ,STR Binny,0.3333333333,0.3333333333,0,0,0,0,0.3333333333,0,2
AJ Finch ,Sandeep Sharma,0.625,0.25,0,0,0,0,0.125,3,2
AJ Finch ,TG Southee,0.5,0.1666666667,0,0,0.1666666667,0,0.1666666667,0,2
AJ Finch ,UT Yadav,0.3333333333,0.3333333333,0,0,0,0,0.3333333333,4,2
AM Rahane ,A Ashish Reddy,0.3333333333,0.3333333333,0,0,0,0,0.3333333333,3,3
AM Rahane ,A Mishra,0,0.5,0.25,0,0,0,0.25,4,3
AM Rahane ,A Mishra,0.1818181818,0.3636363636,0.1818181818,0,0.0909090909,0.0909090909,0.0909090909,4,3
AM Rahane ,A Nehra,0.2,0.4666666667,0.0666666667,0,0.2,0,0.0666666667,4,3
AM Rahane ,A Nehra,0.5,0.1666666667,0,0,0.25,0,0.0833333333,4,3
AM Rahane ,AD Mathews,0.3571428571,0.3571428571,0.1428571429,0,0.0714285714,0,0.0714285714,0,3
AM Rahane ,AD Mathews,0.2857142857,0.5714285714,0,0,0,0,0.1428571429,0,3
AM Rahane ,AR Patel,0.25,0.5,0.1875,0,0,0,0.0625,3,3
AM Rahane ,Anureet Singh,0.3,0.5,0,0,0,0.1,0.1,3,3
AM Rahane ,Anureet Singh,0.6666666667,0,0,0,0,0,0.3333333333,0,3
AM Rahane ,Azhar Mahmood,0.25,0.375,0,0,0.125,0.125,0.125,3,3
AM Rahane ,B Kumar,0.3571428571,0.2857142857,0.0714285714,0,0.2142857143,0,0.0714285714,2,3
AM Rahane ,B Kumar,0.5714285714,0,0,0,0.2857142857,0,0.1428571429,2,3
AM Rahane ,CJ Anderson,0,0.5,0,0,0.25,0,0.25,1,3
AM Rahane ,D Wiese,0.1,0.4,0.2,0,0.2,0,0.1,3,3
AM Rahane ,DJ Bravo,0.1428571429,0.4285714286,0,0,0.1428571429,0.1428571429,0.1428571429,4,3
AM Rahane ,GJ Maxwell,0,0.6666666667,0,0,0,0,0.3333333333,3,3
AM Rahane ,GS Sandhu,0.2307692308,0.2307692308,0.2307692308,0,0.2307692308,0,0.0769230769,1,3
AM Rahane ,HV Patel,0.1428571429,0.5714285714,0,0,0.1428571429,0,0.1428571429,0,3
AM Rahane ,HV Patel,0.4,0.2,0,0,0.2,0,0.2,0,3
AM Rahane ,IC Pandey,0.4444444444,0.3333333333,0,0,0.1111111111,0,0.1111111111,3,3
AM Rahane ,Imran Tahir,0.5714285714,0.2857142857,0,0,0,0,0.1428571429,3,3
AM Rahane ,Iqbal Abdulla,0.1666666667,0.3333333333,0,0,0.1666666667,0.1666666667,0.1666666667,0,3
AM Rahane ,J Suchith,0.2,0.4666666667,0.2,0,0.0666666667,0,0.0666666667,3,3
AM Rahane ,JD Unadkat,0.4285714286,0.2857142857,0.0714285714,0,0.0714285714,0.0714285714,0.0714285714,0,3
AM Rahane ,KV Sharma,0.3333333333,0.3333333333,0.1666666667,0,0.0833333333,0,0.0833333333,0,3
AM Rahane ,M Morkel,0.3333333333,0.0833333333,0.25,0,0.1666666667,0.0833333333,0.0833333333,2,3
AM Rahane ,MA Starc,0.3333333333,0.5,0,0,0,0,0.1666666667,3,3
AM Rahane ,MA Starc,0.5,0.25,0,0,0,0,0.25,3,3
AM Rahane ,MG Johnson,0.3571428571,0.2142857143,0,0,0.3571428571,0,0.0714285714,0,3
AM Rahane ,MJ McClenaghan,0.1428571429,0.5714285714,0,0,0.1428571429,0,0.1428571429,0,3
AM Rahane ,MM Sharma,0.25,0.3333333333,0.25,0,0,0.0833333333,0.0833333333,2,3
AM Rahane ,MM Sharma,0.2857142857,0.1428571429,0.2857142857,0,0.1428571429,0,0.1428571429,2,3
AM Rahane ,NM Coulter-Nile,0.1538461538,0.5384615385,0,0,0.0769230769,0.1538461538,0.0769230769,3,3
AM Rahane ,NM Coulter-Nile,0.375,0.25,0,0,0.125,0.125,0.125,3,3
AM Rahane ,P Kumar,0.2,0.6,0,0,0,0,0.2,4,3
AM Rahane ,P Suyal,0.2857142857,0.2857142857,0.1428571429,0,0.1428571429,0,0.1428571429,1,3
AM Rahane ,R Ashwin,0,0.625,0.125,0,0.125,0,0.125,4,3
AM Rahane ,Vinay Kumar,0.5,0,0,0,0,0,0.5,4,3
AM Rahane ,Vinay Kumar,0.5555555556,0.2222222222,0,0,0.1111111111,0,0.1111111111,4,3
AM Rahane ,RA Jadeja,0.2,0.6,0.1,0,0,0,0.1,4,3
AM Rahane ,RS Bopara,0.5,0.2857142857,0,0,0.1428571429,0,0.0714285714,3,3
AM Rahane ,S Aravind,0.4166666667,0.4166666667,0,0,0.0833333333,0,0.0833333333,0,3
AM Rahane ,S Gopal,0.2857142857,0.2857142857,0.2857142857,0,0,0,0.1428571429,1,3
AM Rahane ,SL Malinga,0.1666666667,0.3333333333,0.1666666667,0,0.1666666667,0,0.1666666667,0,3
AM Rahane ,SL Malinga,0,0.3333333333,0.3333333333,0,0,0,0.3333333333,0,3
AM Rahane ,Sandeep Sharma,0.8571428571,0,0,0,0,0,0.1428571429,1,3
AM Rahane ,Sandeep Sharma,0.2222222222,0.3333333333,0.2222222222,0,0.1111111111,0,0.1111111111,4,3
AM Rahane ,Shivam Sharma,0.125,0.375,0.25,0,0,0.125,0.125,4,3
AM Rahane ,TA Boult,0.5,0.1428571429,0.0714285714,0,0.2142857143,0,0.0714285714,3,3
AM Rahane ,UT Yadav,0.2,0.6,0,0,0,0,0.2,4,3
AM Rahane ,YS Chahal,0.3333333333,0.4444444444,0.1111111111,0,0,0,0.1111111111,0,3
AM Rahane ,Yuvraj Singh,0,0.6,0,0,0,0.2,0.2,0,3
AM Rahane ,Z Khan,0.125,0.25,0.125,0,0.375,0,0.125,4,3
AP Tare ,Anureet Singh,0.4,0.2,0.2,0,0,0,0.2,3,0
AP Tare ,M Morkel,0.2,0.4,0,0,0.2,0,0.2,4,0
AP Tare ,Sandeep Sharma,0.2857142857,0.5714285714,0,0,0,0,0.1428571429,3,0
AP Tare ,Shakib Al Hasan,0.5,0.25,0,0,0,0,0.25,0,0
AR Patel ,A Mishra,0.4,0.4,0,0,0,0,0.2,4,0
AR Patel ,A Mishra,0,0.5,0,0,0,0.25,0.25,2,0
AR Patel ,AD Mathews,0.3,0.6,0,0,0,0,0.1,0,0
AR Patel ,B Kumar,0,0.5,0,0,0,0,0.5,4,0
AR Patel ,B Kumar,0.25,0.5,0,0,0,0,0.25,3,0
AR Patel ,CH Morris,0.2,0.6,0,0,0,0,0.2,2,0
AR Patel ,CH Morris,0,0.6666666667,0,0,0,0,0.3333333333,2,0
AR Patel ,D Wiese,0,0.6666666667,0,0,0,0,0.3333333333,3,0
AR Patel ,D Wiese,0,0.5,0,0,0.25,0,0.25,2,0
AR Patel ,DJ Bravo,0.25,0.5,0,0,0,0.125,0.125,4,0
AR Patel ,DJ Hooda,0,0.6666666667,0,0,0,0,0.3333333333,4,0
AR Patel ,DS Kulkarni,0,0.3333333333,0,0,0.3333333333,0,0.3333333333,4,0
AR Patel ,HV Patel,0.4,0.4,0,0,0,0,0.2,3,4
AR Patel ,HV Patel,0.2,0.2,0,0,0.2,0.2,0.2,2,4
AR Patel ,I Sharma,0,0.5,0,0,0.25,0,0.25,0,4
AR Patel ,Imran Tahir,0.1666666667,0.5,0,0,0,0.1666666667,0.1666666667,0,4
AR Patel ,Imran Tahir,0.375,0.375,0.125,0,0,0,0.125,4,4
AR Patel ,JP Duminy,0.5,0.25,0,0,0,0,0.25,4,4
AR Patel ,JP Faulkner,0.5,0.375,0,0,0,0,0.125,0,4
AR Patel ,JP Faulkner,0,0,0.5,0,0.25,0,0.25,2,4
AR Patel ,KV Sharma,0,0.5,0,0,0,0,0.5,2,4
AR Patel ,MA Starc,0,0.5,0,0,0,0,0.5,0,4
AR Patel ,MA Starc,0,0.5,0.25,0,0,0,0.25,0,4
AR Patel ,MC Henriques,0,0.25,0.25,0,0,0.25,0.25,3,4
AR Patel ,MC Henriques,0.25,0.5,0,0,0,0,0.25,3,4
AR Patel ,NM Coulter-Nile,0.3333333333,0.3333333333,0,0,0,0,0.3333333333,4,4
AR Patel ,P Kumar,0.25,0.5,0.125,0,0,0,0.125,1,4
AR Patel ,P Negi,0,0.75,0,0,0,0,0.25,2,4
AR Patel ,PV Tambe,0.2,0.5,0.1,0,0.1,0,0.1,0,4
AR Patel ,R Ashwin,0.4444444444,0.4444444444,0,0,0,0,0.1111111111,0,4
AR Patel ,R Ashwin,0.6666666667,0.1666666667,0,0,0,0,0.1666666667,2,4
AR Patel ,RA Jadeja,0.3333333333,0.3333333333,0,0,0,0.1666666667,0.1666666667,3,4
AR Patel ,RA Jadeja,0.2222222222,0.5555555556,0,0,0.1111111111,0,0.1111111111,3,4
AR Patel ,S Aravind,0.25,0,0,0,0.5,0,0.25,0,4
AR Patel ,SK Raina,0,0.5,0,0,0.25,0,0.25,2,4
AR Patel ,SL Malinga,0.5,0,0,0,0,0,0.5,2,4
AR Patel ,SP Narine,0.3333333333,0.3333333333,0,0,0,0,0.3333333333,0,4
AR Patel ,STR Binny,0.4,0.4,0,0,0,0,0.2,3,4
AR Patel ,TA Boult,0,0.3333333333,0,0,0.3333333333,0,0.3333333333,3,4
AR Patel ,TA Boult,0.5,0,0,0,0,0,0.5,0,4
AR Patel ,TG Southee,0.6666666667,0,0,0,0,0,0.3333333333,0,4
AR Patel ,UT Yadav,0,0.5,0,0,0,0,0.5,3,4
AR Patel ,YS Chahal,0.4166666667,0.1666666667,0.0833333333,0,0.1666666667,0.0833333333,0.0833333333,4,4
AR Patel ,YS Chahal,0.3333333333,0.3333333333,0,0,0,0.1666666667,0.1666666667,3,4
AR Patel ,Z Khan,0,0.75,0,0,0,0,0.25,0,4
AT Rayudu ,A Mishra,0.1666666667,0.6666666667,0.0833333333,0,0,0,0.0833333333,4,4
AT Rayudu ,A Mishra,0.4,0.2,0.2,0,0,0,0.2,4,4
AT Rayudu ,A Nehra,0,0.2,0.2,0,0,0.4,0.2,4,4
AT Rayudu ,A Nehra,0,0.5,0,0,0,0,0.5,4,4
AT Rayudu ,A Nehra,0.3333333333,0.3333333333,0,0,0,0,0.3333333333,0,4
AT Rayudu ,AD Mathews,0.1111111111,0.5555555556,0,0,0.2222222222,0,0.1111111111,0,4
AT Rayudu ,AR Patel,0.4,0.4,0,0,0,0,0.2,4,4
AT Rayudu ,Ankit Sharma,0.125,0.625,0.125,0,0,0,0.125,2,4
AT Rayudu ,Anureet Singh,0.8,0,0,0,0,0,0.2,3,4
AT Rayudu ,Anureet Singh,0,0,0,0,0.5,0,0.5,3,4
AT Rayudu ,B Kumar,0.6666666667,0,0,0,0,0,0.3333333333,3,4
AT Rayudu ,D Wiese,0.5,0,0,0,0,0,0.5,0,4
AT Rayudu ,DJ Bravo,0.2222222222,0.5555555556,0,0,0,0.1111111111,0.1111111111,4,4
AT Rayudu ,DJ Bravo,0.375,0.5,0,0,0,0,0.125,0,4
AT Rayudu ,DJ Bravo,0.1428571429,0.5714285714,0,0,0.1428571429,0,0.1428571429,0,4
AT Rayudu ,DJ Bravo,0,0.4,0.2,0,0.2,0,0.2,4,4
AT Rayudu ,DR Smith,0.2727272727,0.1818181818,0.3636363636,0,0,0.0909090909,0.0909090909,4,3
AT Rayudu ,DS Kulkarni,0,0.5,0,0,0,0,0.5,4,3
AT Rayudu ,DW Steyn,0.25,0.25,0,0,0.25,0,0.25,4,3
AT Rayudu ,HV Patel,0.3333333333,0,0,0,0,0.3333333333,0.3333333333,4,3
AT Rayudu ,IC Pandey,0.2,0.2,0,0,0.2,0.2,0.2,4,3
AT Rayudu ,Imran Tahir,0.375,0.25,0.125,0,0.125,0,0.125,0,3
AT Rayudu ,Imran Tahir,0.3333333333,0.5,0,0,0,0,0.1666666667,3,3
AT Rayudu ,J Theron,0.1,0.5,0.1,0,0.1,0.1,0.1,3,3
AT Rayudu ,M Morkel,0,0,0.5,0,0,0,0.5,3,3
AT Rayudu ,M Morkel,0.6666666667,0,0,0,0,0,0.3333333333,0,3
AT Rayudu ,MG Johnson,0.6,0,0,0,0.2,0,0.2,2,3
AT Rayudu ,MM Sharma,0.3333333333,0.3333333333,0,0,0,0,0.3333333333,3,3
AT Rayudu ,MM Sharma,0.1666666667,0.3333333333,0,0,0,0.3333333333,0.1666666667,4,3
AT Rayudu ,MM Sharma,0.3333333333,0.3333333333,0,0,0,0.1666666667,0.1666666667,4,3
AT Rayudu ,NM Coulter-Nile,0.4285714286,0.2857142857,0,0,0.1428571429,0,0.1428571429,4,3
AT Rayudu ,NM Coulter-Nile,0.2,0.2,0,0,0.4,0,0.2,4,3
AT Rayudu ,P Negi,0.5,0.1666666667,0,0,0,0.1666666667,0.1666666667,3,3
AT Rayudu ,R Dhawan,0,0.5,0,0,0.25,0,0.25,2,3
AT Rayudu ,RA Jadeja,0,0.8,0,0,0,0,0.2,4,3
AT Rayudu ,S Nadeem,0.25,0.5,0,0,0,0.125,0.125,0,3
AT Rayudu ,SR Watson,0,0.5,0,0,0.25,0,0.25,3,3
AT Rayudu ,STR Binny,0,0.3333333333,0,0,0,0.3333333333,0.3333333333,3,3
AT Rayudu ,Sandeep Sharma,0.6,0.2,0,0,0,0,0.2,3,3
AT Rayudu ,Shakib Al Hasan,0.6666666667,0,0,0,0,0,0.3333333333,3,3
AT Rayudu ,TA Boult,0,0.6666666667,0,0,0,0,0.3333333333,2,3
AT Rayudu ,TG Southee,0.1666666667,0.1666666667,0,0,0.3333333333,0.1666666667,0.1666666667,2,3
AT Rayudu ,YS Chahal,0,0,0.3333333333,0,0,0.3333333333,0.3333333333,0,3
AT Rayudu ,Yuvraj Singh,0.25,0.5,0,0,0,0,0.25,2,3
AT Rayudu ,Z Khan,0,0.625,0,0,0.125,0.125,0.125,2,3
Ankit Sharma ,D Wiese,0,0.3333333333,0,0,0.3333333333,0,0.3333333333,2,3
Ankit Sharma ,DJ Bravo,0.5,0,0,0,0,0,0.5,3,3
